Air Andaman,\N,,ADW,AIR ANDAMAN,Thailand,N
Anderson Aviation,\N,,ADX,ANDAX,United States,N
Air Europa,\N,UX,AEA,EUROPA,Spain,Y
Air Southwest Ltd.,\N,,ASW,AIRSOUTHWEST,Canada,N
Air Special,\N,,ASX,AIRSPEC,Czech Republic,N
Aero Benin,\N,EM,AEB,AEROBEN,Benin,Y
Aerocesar,\N,,AEC, Aerovias Del Cesar,AEROCESAR,N
Aerotrans Airlines,\N,,AED,,Russia,N
Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y
Aerofumigaciones Sam,\N,,AEG,FUMIGACIONES SAM,Chile,N
Aeroexpreso Interamericano,\N,,AEI,INTERAM,Colombia,N
Air Express,\N,,AEJ,KHAKI EXPRESS,Tanzania,N
Aerocon,\N,,AEK,AEROCON,Bolivia,N
Aero Madrid,\N,,AEM,AEROMADRID,Spain,N
Aeroenlaces Nacionales,\N,,AEN,,Mexico,N
Aeroservicios Ejecutivos Del Occidente,\N,,AEO,AERO OCCIDENTE,Mexico,N
Aerotec,\N,,AEP,AEROTEC,Spain,N
Air Atlantique,\N,KI,AAG,ATLANTIC,United Kingdom,N
Air Europe,\N,PE,AEL,AIR EUROPE,Italy,Y
Air Alma,\N,,AAJ,AIR ALMA,Canada,N
Air Express,\N,,AEQ,LUNA,Sweden,N
Alaska Central Express,\N,KO,AER,ACE AIR,United States,Y
ACES Colombia,\N,,AES,ACES,Colombia,Y
Aeronautical Radio of Thailand,\N,,AET,AEROTHAI,Thailand,N
Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom,Y
Aeroventas,\N,,AEV,AEROVENTAS,Mexico,N
Aerosvit Airlines,\N,VV,AEW,AEROSVIT,Ukraine,Y
Airway Express,\N,,AEX,AVCO,United States,N
Air Italy,\N,I9,AEY,AIR ITALY,Italy,Y
Aerial Transit Company,\N,,AEZ,AERIAL TRANZ,United States,N
Alfa Air,\N,,AFA,BLUE ALFA,Czech Republic,N
American Falcon,\N,WK,AFB,AMERICAN FALCON,Argentina,N
Alliance Airlines,\N,QQ,UTY,UNITY,Australia,Y
Air Universal,\N,,UVS,UNI-LEONE,Sierra Leone,N
Auvia Air,\N,,UVT,AUVIA,Indonesia,N
African West Air,\N,,AFC,AFRICAN WEST,Senegal,N
Airfast Indonesia,\N,,AFE,AIRFAST,Indonesia,N
Ariana Afghan Airlines,\N,FG,AFG,ARIANA,Afghanistan,Y
Air Fecteau,\N,,AFH,FECTO,Canada,N
Africaone,\N,,AFI,AFRICAWORLD,Uganda,N
Alliance,\N,,AFJ,JAMBO,Uganda,N
Africa Air Links,\N,,AFK,AFRICA LINKS,Sierra Leone,N
Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,Y
Aero Empresa Mexicana,\N,,AFO,AERO EMPRESA,Mexico,N
Air Bosna,\N,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
Air Bravo,\N,,BRF,AIR BRAVO,Uganda,N
Air Brasd'or,\N,,BRL,BRASD'OR,Canada,N
Air 500,\N,,BRM,BOOMERANG,Canada,N
Alba Servizi Aerotrasporti,\N,,AFQ,ALBA,Italy,N
Air France,\N,AF,AFR,AIRFRANS,France,Y
